,No,Place,Title,Type,Price,Programme,Advert,Review,Notes,DateTime
103,104,H,CUZZONI~ 51,CB,10s 6d,1: GEMINIANI CNgr OP.2 NO.3; SG CUZZONI~ <F_CUZZONI> 'AFFANNI_DEL_PENSIER'; SG GUADAGNI; CN BN MILLER-j; SL VN MORIGI-A1 <ANGELO_MORIGI>; SG CUZZONI~ 'FALSA_IMMAGINE'; GEMINIANI CNgr OP.3 NO.6.  2: CN VN MORIGI-A1; SG CUZZONI~ 'RETURN_O_GOD'; SG PALMA-1; SL VC BENEKI; SG CUZZONI~ 'SALVE_REGINA'; HANDEL CNGR <GRAND_CN> 5TH.,GA; GA 20 May,,From 22 May. [LS; Deutsch-Handel 709-10.],1751-05-23 19:00:00
104,105,HAM ,DORMAN 51,CB,5s,[DORMAN?] LEAD FESTING; V BEARD. CN HPD BUTLER; SL VC PASQUALINO; CN BN BAUMGARTEN-s; CN TPT ABINGTON.,GA,,Annual concert for Dorman's friends.,1751-08-24 18:30:00
105,106,,CASTLE 51-52,SOC,,,GA 20 Sept 1751,,Castle Society: meeting.,
106,107,R,RANELAGH 51-52,GS,2s,V FRASI~ STORER~ BEARD.,GA,,[Concerts began on 23 Sept; no names given. And subsequently; not listed.],1751-09-26 12:00:00
107,108,CAS,CASTLE 51-52 1ST,SOC,,,GA 20 Sept 1751,,Castle Society: first concert.,
108,109,DST,DEAN ST 51-52 1ST,CS,For twenty: 3gn (1); 5gn (2) *,LEAD GIARDINI; V FRANCESINA~ GALLI~ SHEWARD~; OB VINCENT; VC PASQUALINO.,GA,,* 2 is 2g or 1g + 2l.,1751-12-14 19:00:00
109,110,DST,DEAN ST 51-52 2ND,CS,,PERGOLESI OV; PALMA-2 SG SHEWARD~ 'SON_LE_DONNE'; JOMMELLI SG GALLI~ 'PUPILLI'; SL VC PASQUALINO / CN VC PASQUALINO; HANDEL SG FRANCESINA~ 'HEART'; CIAMPI SG GALLI~ 'PASTORELLI'; PASQUALI CN HPD OGLE; CN BN MILLER-j; HANDEL SG SHEWARD~ 'THE_PRINCE'; GIACOMELLI SG FRANCESINA~ 'DATTE'; CN vn GIARDINI; PALMA-2 SG GALLI~ 'BASSA'; HASSE SG FRANCESINA~ 'SIETE'; CNgr HN HN.,GA,,,1751-12-21 19:00:00
110,111,HAY,ORATORY 51-52,MI,B 5s; P 3s; G 2s,[some musical items; e.g. HANDEL OV.],GA,,[Christopher Smart's] Old Woman's Oratory. [Deutsch-Handel 713. And subsequently; not listed: see LS.],1751-12-27 12:00:00
111,112,DST,DEAN ST 51-52 3RD,CS,,1: handel OV from handel o ^ESTHER^; PALMA-2 SG SHEWARD~ 'SHEPHERD'; LAMPUGNANI SG GALLI~ 'ALMA_CHE'; CN VC PASQUALINO; HANDEL SG FRANCESINA~ 'BUT_OH'; HASSE SG GALLI~ 'CHI_NON'; RAMEAU CN HPD OGLE.  2: CN OB VINCENT; PASQUALI SG SHEWARD~ 'O_'TIS'; SG FRANCESINA~ 'FRA_TUTTE'; SL VN GIARDINI; CIAMPI SG GALLI~ 'LA_PER'; PALMA-2 SG FRANCESINA~ 'SE_L'AMISTA'; GEMINIANI CNgr 4TH.,GA,,[Deutsch-Handel 713-14.],1751-12-28 19:00:00
112,113,DST,DEAN ST 51-52 4TH,CS,,1: handel OV from handel o ^ALCINA^; PASQUALI SG SHEWARD~ 'WHERE_THE_BEE'; LAMPUGNANI SG FRANCESINA~ 'QUANDO_MIRA'; SL VC PASQUALINO; SG GALLI~ 'SE_CHE'; ALBERTI SG FRANCESINA~ 'CARO_SPOLO'; CN VN GIARDINI.  2: AVISON CN HPD OGLE; SG SHEWARD~ 'TROPO_CARO'; SG GALLI~ 'SE_SPONTAN'; SL OB VINCENT; HASSE SG FRANCESINA~ 'SEI_DANNI'; PALMA-2 SG GALLI~ 'SPESSO_MI'; GEMINIANI CNgr.,GA,,,1752-01-04 19:00:00
113,114,R,RANELAGH 51-52,GS,,V FRASI~ BEARD.,GA,,[And subsequently on Tuesdays and Saturdays to 2 May; not listed. 23 Jan: interruption for cold weather.],1752-01-04 12:00:00
114,115,DST,DEAN ST 51-52 5TH,CS,10s 6d non-subscribers,1: handel OV from handel o ^ALEXANDER'S_FEAST^; HANDEL SG SHEWARD~ 'TO_SONG'; HASSE SG FRANCESINA~ 'SE_AL'; GIARDINI dt HPD OB OGLE VINCENT <SN>; VERACINI SG GALLI~ 'OH_INAS'; TERRADELLAS SG FRANCESINA~ 'SE_PERDE'; CN VC PASQUALINO.  2: CN BN BAUMGARTEN-s; PASQUALI SG SHEWARD~ 'GENTLE_SWAINS'; GALUPPI SG GALLI~ 'QUANDO_DIREI'; SL VN GIARDINI; TERRADELLAS SG FRANCESINA~ 'SEI_BELLA'; GIONACCHINO SG GALLI~ 'CHI_NON'; GEMINIANI CNgr 1ST.,GA,,,1752-01-11 19:00:00
115,116,CRO,CROWN 51-52,SOC,,,GA 6 Jan,,From 6 Jan. Crown Concert.,
116,117,H,BARBANDT 52,CB,,1: HANDEL OV from HANDEL o ^SAMSON^; ALBERTI SG MANFREDINI 'CARO_SPOSO'; CN BN BAUMGARTEN-s; BARBANDT SG GALLI~ 'SI_CARO'; SL VC BENEKI; samMARTINI CNGR.  2: BARBANDT SYM; BARBANDT SG GALLI~ 'IL_MIO'; SL VN GIARDINI; BARBANDT SYM; DT 2v GALLI~ MANFREDINI 'TU_VUOI'; BARBANDT CN OB BARBANDT; BARBANDT CN ORG BARBANDT. <CHARLES_BARBANDT>.,GA,,,1752-01-14 18:00:00
117,118,DST,DEAN ST 51-52 6TH,CS,10s 6d non-subscribers,1: GIULINI OV; PASQUALI SG SHEWARD~ 'THE_HERO'; JOMMELLI SG FRANCESINA~ 'CARE_LUCI'; SL VC PASQUALINO; TERRADELLAS SG GALLI~ 'NON_SO'; HASSE SG FRANCESINA~ 'PARTO_CON'; HANDEL CN HPD OGLE.  2: CN OB VINCENT; HANDEL SG SHEWARD~ 'HOW_BLEST'; VINCI SG GALLI~ 'VO_SOLCANDO'; SL VN GIARDINI; HASSE SG FRANCESINA~ 'RITORNO'; LAMPUGNANI SG GALLI~ 'A_ME'; GEMINIANI CNgr.,GA,,,1752-01-18 19:00:00
118,119,R,RANELAGH 51-52,GS,2s,V FRASI~ BEARD. SL VN CHABRAN.,LDA,,With breakfast.,1752-01-18 12:00:00
119,120,CAS,GIBBONS 52,CB,5s,[GIBBONS?] LEAD BROWN-a. SL VN BROWN-a; CN HPD FROUD; CN VC JONES-G <G_JONES>; SG BEARD <SGS> (FAV).,LDA,,,1752-01-20 19:00:00
120,121,DST,DEAN ST 51-52 7TH,CS,10s 6d non-subscribers,1: HANDEL OV; HANDEL SG SHEWARD~ 'WITH_RAVISH'D'; LAMPUGNANI SG FRANCESINA~ 'SE_PACE'; SL HPD OGLE; LAMPUGNANI SG GALLI~ 'A_SE'; HASSE SG FRANCESINA~ 'MIO_COR'; CN VN GIARDINI.  2: CN BN BAUMGARTEN-s; SG SHEWARD~ 'BLEST_AS'; MANFREDINI SG GALLI~ 'ALMEN_SE'; SL OB VINCENT; ARAIA SG FRANCESINA~ 'SCHERZA_LA'; CIAMPI SG GALLI~ 'VARCAN_CON'; GEMINIANI CNgr.,GA,,,1752-01-25 19:00:00
121,122,KA,THOMPSON~1 52,CB,5s,LEAD PASQUALI.  1: CN VC JONES-G <G_JONES>; CN BN MILLER-j; CN HPD THOMPSON~1; STANLEY sg THOMPSON~1 <CANTATA>; HANDEL SG THOMPSON~1 <2 SGS>.  2: FROM HANDEL o ^ACIS_AND_GALATEA^: HANDEL SG THOMPSON~1 <ET AL; FAV SGS>; HANDEL CH <CHS>.,GA,,,
122,123,CAS,JONES-g 52,CB,3s,[JONES-g?] LEAD BROWN-a; V BEARD. SL VN BROWN-a; PIECE DRS WOODBRIDGE-J <PREAMBLE 4DRS JOS_WOODBRIDGE>.,GA 17 Jan; GA 15 Jan,,And ball. From 20 Jan?,1752-01-27 19:00:00
123,124,DST,DEAN ST 51-52 8TH,CS,10s 6d non-subscribers,1: GIULINI OV <CONTE_GIULINI>; PASQUALI SG SHEWARD~ 'O_'TIS'; LAMPUGNANI SG GALLI~ 'DI_QUELO'; SL OB VINCENT; CIAMPI SG MEYER~ 'DAL_LABRO'; HASSE SG GALLI~ 'NON_ARAGION'; PASQUALI CN HPD OGLE.  2: CN VC PASQUALINO; HANDEL SG SHEWARD~ 'AS_WHEN'; PALMA-2 SG GALLI~ 'BASTA_COSI'; SL VN GIARDINI; CIAMPI SG MEYER~ 'RENDIMI'; BERNASCONI SG GALLI~ 'RETORNI'; CORELLI CNgr.,GA,,,1752-02-01 19:00:00
124,125,H,RICHTER-J 52,CB,5s,LEAD GIARDINI; V FRASI~; VC PASQUALINO; OB VINCENT; BN BAUMGARTEN-s. [RICHTER-J <JOHN_RICHTER>.],GA,,,
125,126,DST,DEAN ST 51-52 9TH,CS,10s 6d non-subscribers,1: HANDEL OV; STANLEY SG SHEWARD~ 'WHO'LL_BUY'; HANDEL SG FRANCESINA~ 'THE_MORNING'; SL VC PASQUALINO; SG GALLI~ 'SO_CHE'; HANDEL SG FRANCESINA~ 'MYSELF_I'; GEMINIANI CNgr.  2: CN OB VINCENT; LAMPUGNANI SG SHEWARD~ 'BEL_PIACER'; CIAMPI SG GALLI~ 'PASTORELLA'; SL VN GIARDINI; BARSANTI SG FRANCESINA~ 'RITORNE'; CIAMPI SG GALLI~ 'QUEL_RUSCELETO'; CORELLI CNgr 8TH.,GA,,,1752-02-08 19:00:00
126,127,H,DORMAN 52,CB,5s,[DORMAN?] V FRASI~. SG 'THE_HINT' (NEW); SL VN BROWN-a; CN HPD BUTLER; SL VC JONES-g; CN BN BAUMGARTEN-s.,GA,,DORMAN: [text to song].,1752-02-11 18:30:00
127,128,DST,GWYNN 52,CB,5s,LEAD GIARDINI; VC PASQUALINO; HP GWYNN.  1: HANDEL OV from HANDEL o ^OTTONE^ <OTHO>; HANDEL CN HP gwynn 6TH; TERRADELLAS SG GALLI~ 'SE_SPUNTAN'; GEMINIANI CNgr 1ST; GALUPPI SG GALLI~ 'QUANDO'; piece HP gwynn <SCOTCH TUNE>.  2: HANDEL CN HP gwynn 2ND; HANDEL SG GALLI~ 'RETURN_O_GOD'; SL VN GIARDINI; PALMA-2 SG GALLI~ 'BASTA_COSI'; CNgr OB HN HN; piece HP gwynn <WELSH AND SCOTCH AIRS>.,GA,,,1752-02-11 19:00:00
128,129,CG,CG ORATORIO 52 [1ST],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^JOSHUA^ <ORATORIO>.,GA,,[LS; Deutsch-Handel 719.],1752-02-14 18:30:00
129,130,DST,DEAN ST 51-52 10TH,CS,10s 6d non-subscribers,1: HANDEL OV; PASQUALI SG SHEWARD~ 'WHERE_THE_BEE'; CONFORTO SG FRANCESINA~ 'IO_NON_SO'; CN BN MILLER-j; GLUCK SG GALLI~ 'RASSERENA'; SCHIASSI SG FRASI~ 'L'ALTO_IDEA'; HANDEL CN HPD OGLE.  2: CN OB VINCENT; HANDEL SG SHEWARD~ 'COME_EVER'; HASSE SG GALLI~ 'CHI_NON'; SL VN GIARDINI; PORPORA SG FRANCESINA~ 'PIRUO_DEL'; PARADIES SG GALLI~ 'SPERA_IL'; GEMINIANI CNgr.,GA,,,
130,131,CAS,CASTLE 51-52,SOC,,,GA 15 Feb,,Castle Society. Six remaining on Mondays from 17 Feb.,
131,132,CG,CG ORATORIO 52 [2ND],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^JOSHUA^ <ORATORIO>.,GA,,[LS.],1752-02-19 18:30:00
132,133,CG,CG ORATORIO 52 [3RD],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^HERCULES^. ? V WASS GALLI~ FRASI~ BEARD.,GA,,[LS; Deutsch-Handel 719; Handel-Handbuch 4 (Kassel 1985) 457 after Dean.],1752-02-21 18:30:00
133,134,DST,DEAN ST 51-52 11TH,CS,10s 6d non-subscribers,1: HANDEL OV; HANDEL SG SHEWARD~ 'LET_ME_WANDER'; HANDEL SG FRANCESINA~ 'DIMMI_CARO'; CN VC PASQUALINO; LAMPUGNANI SG GALLI~ 'A_ME_CHE'; HANDEL SG FRASI~ 'DICA_IL'; CNgr HN HN.  2: CN OB VINCENT; SG SHEWARD~ 'YE_GENTLE'; PALMA-2 SG GALLI~ 'SPESSO_MI'; SL VN GIARDINI; HANDEL SG FRANCESINA~ 'SI_L'INTENDESTI'; MANFREDINI SG GALLI~ 'MON_CURO'; samMARTINI CNgr.,GA,,,1752-02-22 19:00:00
134,135,CAS,CASTLE 51-52,SOC,,,GA 15 Feb,,Castle Society. Six remaining on Mondays from 17 Feb.,
135,136,R,RANELAGH 51-52,GS,,V FRASI~ BEARD. VOLUNTARY BANDALONE.,GA,,,1752-02-25 12:00:00
136,137,CG,CG ORATORIO 52 [4TH],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^JEPHTHA^ <ORATORIO> (NEW). V BEARD GALLI~ FRASI~ BRENT <MR_BRENT> WASS BOY.,GA,,[LS; Deutsch-Handel 719 (with cast).],1752-02-26 18:30:00
137,138,FBT,TEMPLE OF TASTE 52,MI,2s 6d,[some music; including: handel OV from handel o ^SAMSON^; CN HPD LADY; CN OB; SL FL.],GA,,[LS. Debating society etc. 1st on 20 Feb without musical details. And subsequently; not listed.],1752-02-26 19:00:00
138,139,CG,CG ORATORIO 52 [5TH],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^JEPHTHA^ <ORATORIO> (NEW).,GA 27 Feb,,[LS.],1752-02-28 18:30:00
139,140,DST,DEAN ST 51-52 12TH,CS,10s 6d non-subscribers,1: HANDEL OV; HANDEL SG SHEWARD~ 'O_GODLIKE'; HANDEL SG FRANCESINA~ 'IL_MIO_COR'; CN VC PASQUALINO; TERRADELLAS SG GALLI~ 'NON_SO'; LAMPUGNANI SG FRANCESINA~ 'DA_QUESTO'; CN HPD OGLE.  2: CN OB VINCENT; SG SHEWARD~ 'TROPPO_CARO'; HANDEL SG GALLI~ 'IL_COR_MIO'; SL VN GIARDINI; VERACINI SG FRANCESINA~ 'A_SCOLTO'; CIAMPI SG GALLI~ 'LA_PER'; samMARTINI CNgr.,GA,,,1752-02-29 19:00:00
140,141,R,RANELAGH 51-52,GS,,V FRASI~ BEARD. SL CALASCIONCINO COLLA.,GA,,,1752-02-29 12:00:00
141,142,HAY,PASQUALI 52,CB,PB 10s 6d; G 5s,"V FRASI~ GALLI~. SL VN PASQUALI; SL OB VINCENT; SL BN MILLER-j; SL VC PASQUALINO <PASQUALI_JR> [all ""WITH SOLOS""]. NEW KIND OF INSTRUMENTAL PIECE ""A PIANO E FORTE CONCERTO"" [cngr?] REJOICING MUSIC WITH TPT TPT HN HN DRS (INTENDED TO BE PERFORMED AT OPERA HOUSE).",GA 31 Jan; 7 Feb,,[Postponed from 10 Feb; perhaps indefinitely.],
142,143,CAS,CASTLE 51-52,SOC,,,GA 15 Feb,,Castle Society. Six remaining on Mondays from 17 Feb.,
143,144,DST,GALLI~ 52,CB,10s 6d,LEAD GIARDINI.  1: GIARDINI OV; TERRADELLAS SG GALLI~ (NEW) 'A'TALI_ACCENTE'; SL VC PASQUALINO; SG GAMBARINI~ 'AH_D'ASCOLTAR'; VINCI SG GALLI~ 'VO_SOLCANDO'; CNgr HN HN.  2: GALUPPI OV (NEW); PELLEGRINI SG GALLI~ (NEW) 'SE_IL_CIEL'; TERRADELLAS SG GAMBARINI~ 'MI_CREDI'; SL VN GIARDINI; VINCI DT 2v 'TU_VUOI'; SL OB VINCENT; GALUPPI SG GALLI~ 'QUANDO_DIREI'.,GA; GA 22 Feb,,,1752-03-02 18:30:00
144,145,HAY,YOUNG~I 52,CB,B 5s; P 3s; G 2s,V YOUNG~I <ISABELLA_YOUNG>. HANDEL CN ORG YOUNG~I.,GA,,YOUNG~I: scholar of Waltz.,1752-03-02 18:00:00
145,146,CG,CG ORATORIO 52 [6TH],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^JEPHTHA^ <ORATORIO> (NEW).,GA,,[LS.],1752-03-04 18:30:00
146,147,H,STEVENSON~ 52,CB,5s,V STEVENSON~ BEARD [replaced ARNE-m <JUN>].,GA; GA 20 Feb,,From 2 Mar.,1752-03-05 19:00:00
147,148,JST,BROWN-a 52 [?],CB,B 3s; P 2s; G 1s,[BROWN-a?],-,,[LS. No advertisement found.],
148,149,CG,CG ORATORIO 52 [7TH],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^SAMSON^ <ORATORIO>. ? V BEARD FRASI~ GALLI~ (or BRENT~) WASS.,GA,,[LS; Deutsch-Handel 720; Handel-Handbuch 4 (Kassel 1985) 458 after Dean.],1752-03-06 18:30:00
149,150,DST,DEAN ST 51-52 13TH,CS,10s 6d non-subscribers,1: GALUPPI OV; HANDEL SG SHEWARD~ 'AS_WHEN'; GALUPPI SG FRANCESINA~ 'IO_LASCIAR'; SL VC PASQUALINO; HANDEL SG GALLI~ 'PROVE_SONO'; TERRADELLAS SG FRANCESINA~ 'SE_PERDE'; CN OB VINCENT.  2: CN BN BAUMGARTEN-s; HANDEL SG SHEWARD~ 'YE_VERDANT'; LEO SG GALLI~ 'DALL_CARO'; SL VN GIARDINI; ARAIA SG FRANCESINA~ 'SCHERZA_HA'; LAMPUGNANI SG GALLI~ 'AMI_RITORNATE'; AVISON CNgr.,GA,,,1752-03-07 19:00:00
150,151,CAS,CASTLE 51-52,SOC,,,GA 15 Feb,,Castle Society. Six remaining on Mondays from 17 Feb.,
151,152,H,MANFREDINI 52,CB,5s,LEAD GIARDINI.  1: GIARDINI OV; MANFREDINI SG GALLI~ 'TRA_IL_VENTO'; SL VC PASQUALINO; MAJO-g SG MANFREDINI 'IL_PASTOR' <DON_GIOSEPGE_MAJO>; HANDEL SG GALLI~ 'CARA_SPOSA'; CNgr HN HN.  2: CORELLI CNgr 8TH; ?MANFREDINI SG MANFREDINI 'SE_POSSONO'; SL VN GIARDINI; MANFREDINI SG GALLI~ 'ALMEN_SE'; CN OB EIFFERT; CIAMPI SG MANFREDINI 'QUEL_RUSCELLETTO'; DT 2v.,GA; GA 28 Feb,,,
152,153,CAS,TURNER~e 52,CB,5s,V TURNER~e TURNER~1.,GA,,,1752-03-10 19:00:00
153,154,HAY,FRASI~ 52,CB,PB 10s 6d; G 5s,V FRASI~ CHABRAN~; I GIARDINI VINCENT COLLA MILLER-j PASQUALINO.,GA,,,1752-03-10 18:30:00
154,155,CG,CG ORATORIO 52 [8TH],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^SAMSON^ <ORATORIO>.,GA,,[LS.],1752-03-11 18:30:00
155,156,DST,GAMBARINI~ 52,CB,P 10s 6d; G 5s,LEAD CHABRAN [replaced PASQUALI]; V GAMBARINI~ GALLI~. CN ORG GAMBARINI~.  2: PERGOLESI SG <SGS> and PERGOLESI DT 2v <DTS> (SOME) from PERGOLESI o ^STABAT_MATER^; CORELLI CNgr 4TH (WITH NEW ADDITION OF TPT TPT HN HN DRS [?by pasquali]).,GA; GA 26 Feb,,,1752-03-12 19:00:00
156,157,H,BROWN-a 52,CB,,[BROWN-a.],GA 11 Mar,,,1752-03-12 19:00:00
157,158,CG,CG ORATORIO 52 [9TH],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^SAMSON^ <ORATORIO>.,GA,,[LS.],1752-03-13 18:30:00
158,159,DST,DEAN ST 51-52 14TH,CS,10s 6d non-subscribers,1: OV; PALMA-2 SG SHEWARD~ 'LA_DONA'; HASSE SG FRANCESINA~ 'QUESTO_CORE'; CN OB VINCENT / SL OB VINCENT; SAINT_GERMAIN SG GALLI~ 'PER_PIETO'; GALUPPI SG FRANCESINA~ 'QUESTO_RAPIDO'; CN HPD OGLE.  2: CN VC PASQUALINO; HANDEL SG SHEWARD~ 'THE_PRINCE'; TERRADELLAS SG GALLI~ 'ATALI_CENTI'; SL VN GIARDINI; GALUPPI SG FRANCESINA~ 'PER_MOMENTI'; CIAMPI SG GALLI~ 'VARCAN'; AVISON CNgr.,GA,,,1752-03-14 19:00:00
159,160,CAS,CASTLE 51-52,SOC,,,GA 15 Feb,,Castle Society. Six remaining on Mondays from 17 Feb.,
160,161,KA,GOODWIN 52,CB,3s,[GOODWIN <STERLING_GOODWIN>.],GA 13 Mar,,,1752-03-17 19:00:00
161,162,DST,SHEWARD~ 52,CB,5s,1: GIARDINI OV; PASQUALI SG SHEWARD~ 'O_'TIS_ELYSIUM'; CN VC BENEKI; TERRADELLAS SG GALLI~ 'A'_TAL_ACCENTI'; CN HPD OGLE; SL VN CHABRAN; HANDEL SG SHEWARD~ 'L'AMOR'; GEMINIANI CNgr 1ST OF 2ND SET. BETWEEN PARTS: piece HP GWYNN <AIRS>.  2: CN OB EIFFERT; SG SHEWARD~ 'YE_GENTLE'; PALMA-2 SG GALLI~ 'SPESSIMI_SENTO'; SL VN GIARDINI; PALMA-2 SG GALLI~ 'BASTA_COSI'; SG SHEWARD~ (NEW) 'IF_WINE'; CNgr HN HN; SG SHEWARD~ 'THE_RAVISHED'.,GA,GA 16 Mar (preview),,
162,163,CG,CG ORATORIO 52 [10TH],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^JUDAS_MACCABAEUS^ <ORATORIO>.,GA,,[LS; Deutsch-Handel 721.],1752-03-18 18:30:00
163,164,CG,CG ORATORIO 52 [11TH],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^JUDAS_MACCABAEUS^ <ORATORIO>.,GA,,[LS.],1752-03-20 18:30:00
164,165,DST,DEAN ST 51-52 15TH,CS,10s 6d non-subscribers,1: PERGOLESI OV; HANDEL SG SHEWARD~ 'L'AMOR'; HASSE SG FRANCESINA~ 'DALLE_SFERE'; CN OB VINCENT; SG GALLI~ 'SO_CHE'; GALUPPI SG FRANCESINA~ 'IN_LASCIAR'; CN BN BAUMGARTEN-s.  2: CN VC PASQUALINO; SG SHEWARD~ 'IF_WINE'; LAMPUGNANI SG GALLI~ 'QUANDO_SULERBE'; SL VN GIARDINI; LAMPUGNANI SG FRANCESINA~ 'QUANDO_MIRA'; PALMA-2 SG GALLI~ 'VOI_DONCELLI'; CORELLI CNgr from CORELLI SL [?by geminiani].,GA,,,1752-03-21 19:00:00
165,166,KT,DECAYED MUSICIANS 52,CB,PB 10s 6d; G 5s,1: GIARDINI OV (NEW); ALBERTI SG FRASI~ 'CARO_SPOSO'; HANDEL SG BEARD 'THRO'_THE_LAND'; CN vc PASQUALINO; HANDEL SG WASS 'HONOUR_AND'; VINCI SG GALLI~ 'VO_SOLCANDO'.  2: CN vn GIARDINI; HANDEL SG GALLI~ 'FATHER_OF'; HANDEL SG WASS 'REVENGE'; CN bn MILLER-j; HANDEL SG FRASI~ 'SEE_HERCULES'; HANDEL SG BEARD 'THE_TRUMPETS'; DT 2v FRASI~ GALLI~.   3: CN ob VINCENT; HANDEL SG BEARD 'LOVE_IN'; CIAMPI SG GALLI~ 'PASTORELLA'; JOMMELLI SG FRASI~ 'SE_PERDE'; HANDEL TR 3v FRASI~ BEARD WASS 'THE_FLOCKS'; HANDEL CNGR <GRAND CN>.,GA,,[LS.] Subscriber's ticket admits one [anywhere].,1752-03-24 18:00:00
166,167,CG,CG ORATORIO 52 [12TH],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^MESSIAH^ <SACRED ORATORIO>.,GA,,[LS; Deutsch-Handel 722.],1752-03-25 18:30:00
167,168,CG,CG ORATORIO 52 [13TH],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^MESSIAH^ <SACRED ORATORIO>. VOLUNTARY org HANDEL.,GA,Burrows-Harris 288,[LS.] Last this year.,1752-03-26 18:30:00
168,169,DST,DEAN ST 51-52 16TH,CS,10s 6d non-subscribers,1: GIARDINI OV; HANDEL SG FRANCESINA~ 'SIN_NOT'; SL OB VINCENT; PARADIES SG GALLI~ 'SE_PRIA'; HANDEL SG FRANCESINA~ 'RETURN_O_GOD'; PASQUALI CN HPD OGLE.  2: CN VN GIARDINI; HANDEL SG FRANCESINA~ 'O_BEAUTEOUS'; GIARDINI? DT VN VN GIARDINI FROUD; HASSE SG GALLI~ 'SALVE_REGINA'; samMARTINI CNgr.,GA; LDA,,,1752-03-28 19:00:00
169,170,DST,DEAN ST 51-52 17TH,CS,10s 6d non-subscribers,1: HANDEL OV from HANDEL o ^RODELINDA^; PALMA-2 SG SHEWARD~ 'VOGLIA_ME'; GALUPPI SG FRANCESINA~ 'VOI_CHE'; SL VC PASQUALINO; PARADIES SG GALLI~ 'SPERA_IL'; TERRADELLAS SG FRANCESINA~ 'SE_PERDE'; CN OB VINCENT.  2: CN BN; HANDEL SG SHEWARD~ 'WITH_RAVISH'D'; GLUCK SG GALLI~ 'SE_CRUDELE'; SL VN GIARDINI; LAMPUGNANI SG FRANCESINA~ 'DA_QUESTO'; PERGOLESI SG GALLI~ 'NO_NON'; CORELLI CNgr from CORELLI SL [by geminiani?],GA,,,1752-04-04 19:00:00
170,171,CAS,COLLIER (MRS) 52,CB,3s,SG POWELL-1 'DEAR_AMANDA'; SL VDA GROSMAN; CN HPD KEEN; piece DRS WOODBRIDGE-j <PREAMBLE 4DRS>.,GA 13 Mar,,For Mrs Collier widow. And ball.,1752-04-06 19:00:00
171,172,HAY,TROAS 52,CB,PB 5s; G 2s 6d,[TROAS?] LEAD PINTO; V FRASI~; FL BALICOURT; VC BENEKI; BN MILLER-j. [Later omitted: BN BAUMGARTEN-s.],GA; GA 3 Apr,,,1752-04-06 19:00:00
172,173,DEV,BALICOURT 52,CB,5s,[BALICOURT.] LEAD BROWN-a; V STEVENSON~. SL VN BROWN-a.,GA,,,1752-04-08 19:00:00
173,174,FH,FOUNDLING HOSPITAL 52,OB,10s 6d,HANDEL o ^MESSIAH^ <SACRED ORATORIO>. DIR HANDEL. ORG HANDEL.,GA 8 Apr,See Deutsch-Handel 725,[LS; Deutsch-Handel 720-5.],1752-04-09 12:00:00
174,175,DST,DEAN ST 51-52 18TH,CS,10s 6d non-subscribers,1: HANDEL OV; STANLEY SG SHEWARD~ 'WHO'LL_BUY'; VERACINI SG FRANCESINA~ 'S'ALTRO_CHE'; CN VC PASQUALINO; LAMPUGNANI SG GALLI~ 'ALMA_CHI'; SG FRANCESINA~ 'SIETE_BARBARE'; CN HPD OGLE.  2: CN OB VINCENT; HANDEL SG SHEWARD~ 'YE_VERDANT'; HASSE SG GALLI~ 'CHI_NON'; SL VN GIARDINI; VERACINI SG FRANCESINA~ 'PER_PAUIR'; GALUPPI SG GALLI~ 'QUANDO_DIRELI'; AVISON CNgr.,GA,,,1752-04-11 19:00:00
175,176,DST,HELLENDAAL 52,CB,10s 6d,LEAD HELLENDAAL; V GALLI~. HELLENDAAL SL VN HELLENDAAL <SLS>; HELLENDAAL CNGR <GRAND CNS> WITH FUGUES (OF HIS LAST COMPOSITION); SL VC PASQUALINO; CN HPD WORGAN; CN HP GWYNN.,GA,,From 13 Apr.,
176,177,HAY,DELLAVALLE AND DELLAVALLE~ 52,CB,PB 10s 6d; G 5s,LEAD GIARDINI; V FRASI~ DELLAVALLE~; VC CERVETTO-gb. CN BN DELLAVALLE; PIECE BN DELLAVALLE <PIECES ALONE>; SG DELLAVALLE~ <ITALIAN SGS>; CN VN GIARDINI; DT BN VC DELLAVALLE CERVETTO-gb; COLLA ON NEW INSTRUMENT.,GA,,For DELLAVALLE (bassoon to King of Sardinia) and daughter.,1752-04-17 19:00:00
